Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
1413.28511053,1471.77468285,0.0094521381103
1376.03682113,1520.59499108,0.000338653057776
1174.46866894,1337.57279106,0.0197915904424
1169.35807131,1435.76196947,0.00965127363829
1217.55594705,1191.37587759,0.0391098224885
1174.87785023,1233.96937582,0.0253638968668
1068.39493168,21360.0962657,0.206382809898
1152.61620533,2486.79194416,0.226370876242
1186.67502573,8729.84293949,0.173733575006
1208.59798749,1628.50941034,0.0398483954837
1267.2515922,1862.00218949,0.0126003393942
1272.96664037,1215.86978283,0.0586874131344
1199.51481936,1546.36263486,0.0694241016387
1283.79591643,1984.77595807,0.0683679030634
1417.16015581,2164.08429758,0.0512055763958
1242.98558311,2075.67810213,0.0512332035469
1299.93543135,3401.50524216,0.0881459245298
1578.46752137,4151.27485929,0.0684705560255
1933.61707716,3347.89480734,0.0320534305445
2235.07865993,2534.47931394,0.170911362902
3244.37403971,1813.45920954,0.148848355887
6225.36481965,2459.00866887,0.0860577105025
4815.08883632,5349.87323955,0.0546911389338
4609.26808658,1009.30121615,0.0504012327837
7000.7617786,1191.79691692,0.0891419486867
10665.5245902,1216.50000669,0.130511894676
8164.25830318,1466.94289029,0.143167222588
4983.48715207,1345.8405852,0.164935597246
2105.89114752,1402.50579744,0.119258041209
1615.04275928,1487.99586004,0.0809386272837
1406.66978434,1366.80472549,0.0649684552716
1237.25238009,6474.31135563,0.11281224986
1236.67467685,25246.0250881,0.132631019888
1353.67927478,9360.48965147,0.122879677438
1151.6091428,12588.7331717,0.121212284678
1247.45264974,1881.10196195,0.0137659911018
1300.97750305,1291.19864745,0.0711670528948
1264.92024576,1513.83785606,0.0744100027885
1170.67648639,1638.17074711,0.0688958931413
1133.8919724,1594.33901484,0.0491262446991
941.377686386,1722.60441186,0.0649363116466
884.580461142,1742.48344487,0.0790291449958
966.403218056,1502.93222609,0.0386356979779
922.07731739,1173.40011982,0.00391381615004
971.722112801,9064.41388239,0.134684201937
969.156774053,61560.3564707,0.195522559199
1007.90505881,15195.1935305,0.170868621596
991.239414148,22210.360266,0.159712129571
930.542406217,1729.90274595,0.0595271221786
1024.26210351,1351.5268467,0.106760130431
1119.0105199,1229.16913451,0.0619052429683
1111.39552317,1504.63548207,0.0635642861175
1287.70433971,1449.92542959,0.0102367826978
1261.59108876,1345.80172766,0.0139395102783
1654.80992965,1326.10222819,0.0563225929705
1726.55453146,1227.12926713,0.0746397194431
1982.19775082,6667.44711578,0.00554634621516
2448.98501811,14662.0541006,0.0897661230424
3414.0222687,12393.0535019,0.0601145516797
3104.15066243,1715.58928162,0.0362207370455
3250.97172282,1651.61132407,0.0676150591919
4548.66874863,1570.83251337,0.00443782866361
3626.31398543,1716.82441992,0.00652684970624
4378.53393038,1817.44063624,0.0435131513273
2882.19839058,1699.63731421,0.0507273752951
2764.48622545,2036.85331284,0.0447596772454
1755.49602366,3192.52848798,0.023074218218
1326.25833602,3632.21733312,0.0725449937503
1289.65646973,2922.62920205,0.056564653776
1116.53494806,898.25590838,0.335110054091
1155.65510399,1461.02226628,0.275592395875
1206.5060739,1425.01002773,0.275080638842
1273.14068069,3759.28320776,0.0960637838163
1519.30193599,1702.20718535,0.0101752829012
1672.67587425,1737.05557676,0.0772728227389
2614.07005044,1925.21676071,0.00978282209799
4082.5653834,2206.12557651,0.0302382674687
5600.62929986,2125.00471052,0.0731943908691
3941.89631785,1830.17110129,0.0865109110183
6249.96738807,2129.80661126,0.0901091048028
8931.02613316,1700.3269624,0.130882420401
5188.33730413,11516.8364844,0.0334786110194
5517.1596629,3526.85756076,0.0289272713299
4685.19144761,4688.14061594,0.0164916256115
3472.14390359,7621.69910699,0.0346184246267
